case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label
CASE/1826/2020,KAR-HUB-15,Karnataka,Hubballi,JDG-567,Civil,Property_Dispute,Sessions,Execution,7,2019-12-30,1828,3,34,15,0.441,0,0,1243,2920,0,50,36.33,Medium
CASE/6663/2016,TAM-SAL-18,Tamil Nadu,Salem,JDG-166,Writ,SC_ST,Division_Bench,Execution,7,2019-07-12,1999,3,49,17,0.347,0,0,180,730,1269,10,58.88,High
CASE/3843/2023,MAD-IND-13,Madhya Pradesh,Indore,JDG-302,Civil,Property_Dispute,Magistrate,Written_Statement,3,2023-02-07,693,64,18,7,0.389,0,0,1020,2920,0,501,21.09,Low
CASE/9326/2016,UTT-VAR-01,Uttar Pradesh,Varanasi,JDG-525,Civil,Commercial,Magistrate,Execution,7,2019-06-18,2023,68,40,14,0.35,1,0,219,365,1658,77,63.99,High
CASE/6507/2024,UTT-KAN-06,Uttar Pradesh,Kanpur,JDG-635,Execution,NDPS,Sessions,Execution,7,2023-02-15,685,66,23,9,0.391,0,0,443,1095,0,156,42.21,Medium
CASE/1246/2023,DEL-EAS-16,Delhi,East,JDG-419,Criminal,Motor_Accident,Division_Bench,Execution,7,2016-07-21,3085,1,58,18,0.31,0,0,870,1825,1260,39,42.46,Medium
CASE/6633/2023,MAD-IND-05,Madhya Pradesh,Indore,JDG-143,Appeal,NDPS,Magistrate,Execution,7,2019-10-02,1917,42,45,9,0.2,0,0,487,1095,822,67,41.17,Medium
CASE/4386/2023,MAD-BHO-13,Madhya Pradesh,Bhopal,JDG-467,Civil,Property_Dispute,Sessions,Arguments,5,2022-06-19,926,16,17,6,0.353,0,0,1408,2920,0,210,29.5,Medium
CASE/6072/2017,MAD-IND-11,Madhya Pradesh,Indore,JDG-254,Revision,Property_Dispute,Full_Bench,Judgment,6,2017-02-26,2865,145,61,23,0.377,0,0,1499,2920,0,66,46.76,Medium
CASE/4790/2016,DEL-CEN-01,Delhi,Central,JDG-344,Criminal,General_Criminal,Magistrate,Execution,7,2017-07-01,2740,9,53,15,0.283,0,1,593,730,2010,62,61.02,High
CASE/7837/2016,RAJ-UDA-09,Rajasthan,Udaipur,JDG-996,Writ,Senior_Citizen,Full_Bench,Arguments,5,2015-09-26,3384,7,65,19,0.292,0,0,85,180,3204,79,48.48,Medium
CASE/1856/2024,GUJ-SUR-06,Gujarat,Surat,JDG-555,Revision,SC_ST,Single_Judge,Execution,7,2018-09-26,2288,29,48,19,0.396,0,0,233,730,1558,57,47.45,Medium
CASE/7475/2022,UTT-LUC-15,Uttar Pradesh,Lucknow,JDG-783,Appeal,POCSO,Magistrate,Execution,7,2022-04-29,977,9,22,7,0.318,0,0,127,365,612,10,41.62,Medium
CASE/6410/2019,DEL-SOU-04,Delhi,South,JDG-666,Civil,Commercial,Division_Bench,Execution,7,2018-07-04,2372,58,64,19,0.297,1,0,239,365,2007,107,65.3,High
CASE/5715/2020,TAM-COI-13,Tamil Nadu,Coimbatore,JDG-469,Criminal,NDPS,Division_Bench,Arguments,5,2015-02-03,3619,18,99,24,0.242,0,1,401,1095,2524,37,64.77,High
CASE/1643/2017,TAM-COI-06,Tamil Nadu,Coimbatore,JDG-814,Civil,SC_ST,Full_Bench,Execution,7,2018-10-13,2271,24,52,30,0.577,0,0,210,730,1541,23,51.9,High
CASE/4788/2024,WES-SIL-11,West Bengal,Siliguri,JDG-466,Civil,General_Criminal,Sessions,Execution,7,2021-08-08,1241,67,29,9,0.31,0,0,488,730,511,56,45.36,Medium
CASE/1562/2022,DEL-EAS-16,Delhi,East,JDG-538,Criminal,POCSO,Full_Bench,Execution,7,2015-01-08,3645,7,69,22,0.319,0,0,108,365,3280,109,48.25,Medium
CASE/3058/2015,BIH-GAY-12,Bihar,Gaya,JDG-920,Criminal,General_Civil,Full_Bench,Execution,7,2015-10-02,3378,2,73,28,0.384,0,0,1070,2190,1188,59,46.63,Medium
CASE/3162/2021,TAM-MAD-10,Tamil Nadu,Madurai,JDG-622,Appeal,Matrimonial,Sessions,Judgment,6,2020-04-12,1724,26,33,18,0.545,0,0,626,1825,0,10,45.96,Medium
CASE/3855/2021,BIH-GAY-14,Bihar,Gaya,JDG-785,Appeal,General_Civil,Full_Bench,Arguments,5,2022-02-04,1061,46,22,8,0.364,0,0,1242,2190,0,10,28.81,Medium
CASE/0498/2021,RAJ-UDA-19,Rajasthan,Udaipur,JDG-902,Civil,General_Civil,Division_Bench,Arguments,5,2017-03-05,2858,49,65,24,0.369,0,0,1051,2190,668,172,50.8,High
CASE/0445/2021,WES-SIL-07,West Bengal,Siliguri,JDG-381,Criminal,General_Criminal,Single_Judge,Execution,7,2022-12-16,746,358,20,7,0.35,1,1,578,730,16,46,78.97,Critical
CASE/2297/2016,KAR-HUB-05,Karnataka,Hubballi,JDG-949,Revision,General_Criminal,Sessions,Execution,7,2016-01-02,3286,27,84,28,0.333,0,0,391,730,2556,28,42.6,Medium
CASE/5591/2015,KAR-HUB-15,Karnataka,Hubballi,JDG-779,Criminal,NDPS,Sessions,Execution,7,2019-10-31,1888,109,30,12,0.4,1,1,331,1095,793,10,75.82,Critical
CASE/3393/2023,MAD-IND-02,Madhya Pradesh,Indore,JDG-995,Revision,General_Criminal,Division_Bench,Execution,7,2020-05-20,1686,33,43,28,0.651,0,0,451,730,956,69,47.18,Medium
CASE/8383/2017,UTT-LUC-05,Uttar Pradesh,Lucknow,JDG-729,Criminal,POCSO,Sessions,Execution,7,2023-02-10,690,42,24,7,0.292,1,0,149,365,325,58,59.18,High
CASE/1718/2020,BIH-GAY-19,Bihar,Gaya,JDG-736,Civil,General_Criminal,Full_Bench,Execution,7,2015-01-11,3642,183,97,35,0.361,1,0,508,730,2912,10,55.39,High
CASE/7121/2023,GUJ-VAD-16,Gujarat,Vadodara,JDG-840,Civil,Motor_Accident,Single_Judge,Judgment,6,2023-06-08,572,89,13,7,0.538,0,0,863,1825,0,221,26.61,Medium
CASE/0505/2015,WES-KOL-08,West Bengal,Kolkata,JDG-991,Writ,POCSO,Full_Bench,Arguments,5,2018-08-31,2314,13,50,20,0.4,0,0,108,365,1949,77,51.21,High
CASE/4493/2018,WES-KOL-03,West Bengal,Kolkata,JDG-100,Civil,Commercial,Magistrate,Execution,7,2017-09-11,2668,45,63,18,0.286,0,0,366,365,2303,10,52.47,High
CASE/1678/2016,GUJ-RAJ-09,Gujarat,Rajkot,JDG-372,Criminal,Commercial,Full_Bench,Judgment,6,2016-05-05,3162,12,75,34,0.453,0,0,256,365,2797,10,58.02,High
CASE/9469/2016,DEL-NOR-20,Delhi,North,JDG-709,Criminal,General_Criminal,Magistrate,Execution,7,2023-07-05,545,11,14,8,0.571,0,1,462,730,0,84,53.41,High
CASE/1089/2018,UTT-KAN-20,Uttar Pradesh,Kanpur,JDG-167,Revision,POCSO,Full_Bench,Execution,7,2019-04-03,2099,0,57,20,0.351,0,0,122,365,1734,10,49.11,Medium
CASE/0297/2020,MAD-JAB-11,Madhya Pradesh,Jabalpur,JDG-655,Criminal,General_Criminal,Full_Bench,Arguments,5,2021-06-08,1302,113,22,5,0.227,1,1,490,730,572,59,70.29,High
CASE/1222/2021,TAM-SAL-01,Tamil Nadu,Salem,JDG-209,Civil,General_Criminal,Single_Judge,Execution,7,2020-10-30,1523,22,37,16,0.432,0,0,406,730,793,10,56.22,High
CASE/6308/2019,UTT-VAR-07,Uttar Pradesh,Varanasi,JDG-406,Civil,Motor_Accident,Sessions,Execution,7,2017-05-11,2791,37,68,22,0.324,0,0,738,1825,966,26,43.74,Medium
CASE/3401/2017,GUJ-SUR-09,Gujarat,Surat,JDG-970,Appeal,General_Criminal,Single_Judge,Arguments,5,2015-08-29,3412,76,78,31,0.397,0,0,523,730,2682,41,52.15,High
CASE/3219/2020,DEL-EAS-02,Delhi,East,JDG-467,Writ,SC_ST,Single_Judge,Arguments,5,2017-04-05,2827,1,64,26,0.406,0,0,200,730,2097,10,58.23,High
CASE/2831/2019,TAM-COI-12,Tamil Nadu,Coimbatore,JDG-659,Execution,Motor_Accident,Sessions,Judgment,6,2022-08-05,879,172,22,8,0.364,1,0,764,1825,0,10,36.48,Medium
CASE/0708/2019,BIH-PAT-10,Bihar,Patna,JDG-664,Appeal,General_Criminal,Full_Bench,Arguments,5,2019-08-14,1966,14,46,14,0.304,0,0,363,730,1236,124,53.65,High
CASE/6628/2024,GUJ-VAD-12,Gujarat,Vadodara,JDG-266,Execution,SC_ST,Division_Bench,Execution,7,2023-03-19,653,17,14,3,0.214,0,0,144,730,0,10,37.37,Medium
CASE/4739/2016,RAJ-JAI-11,Rajasthan,Jaipur,JDG-309,Execution,Property_Dispute,Sessions,Execution,7,2015-11-26,3323,28,81,30,0.37,0,0,1144,2920,403,22,48.58,Medium
CASE/0025/2018,GUJ-SUR-19,Gujarat,Surat,JDG-175,Execution,SC_ST,Sessions,Execution,7,2020-10-02,1551,38,38,13,0.342,1,0,163,730,821,10,63.91,High
CASE/0436/2024,WES-SIL-16,West Bengal,Siliguri,JDG-258,Execution,Property_Dispute,Full_Bench,Judgment,6,2022-08-09,875,302,24,12,0.5,1,0,1048,2920,0,203,35.09,Medium
CASE/0702/2019,UTT-VAR-17,Uttar Pradesh,Varanasi,JDG-720,Revision,Motor_Accident,Division_Bench,Execution,7,2022-10-17,806,84,16,4,0.25,0,0,882,1825,0,59,19.9,Low
CASE/8435/2023,RAJ-JOD-19,Rajasthan,Jodhpur,JDG-434,Civil,POCSO,Division_Bench,Execution,7,2021-08-01,1248,6,23,7,0.304,0,0,106,365,883,10,54.43,High
CASE/9974/2023,BIH-MUZ-16,Bihar,Muzaffarpur,JDG-589,Criminal,General_Civil,Division_Bench,Arguments,5,2015-07-04,3468,270,84,29,0.345,1,0,1184,2190,1278,45,67.74,High
CASE/1353/2017,MAH-PUN-15,Maharashtra,Pune,JDG-665,Criminal,Property_Dispute,Full_Bench,Execution,7,2015-07-31,3441,251,70,25,0.357,1,0,1295,2920,521,10,56.19,High
CASE/5813/2018,BIH-BHA-19,Bihar,Bhagalpur,JDG-567,Revision,NDPS,Single_Judge,Execution,7,2022-10-05,818,4,10,5,0.5,0,0,497,1095,0,23,38.04,Medium
CASE/4200/2015,RAJ-KOT-18,Rajasthan,Kota,JDG-457,Criminal,SC_ST,Sessions,Execution,7,2023-02-08,692,11,16,1,0.062,0,0,146,730,0,10,42.35,Medium
CASE/1178/2023,UTT-VAR-01,Uttar Pradesh,Varanasi,JDG-827,Civil,Matrimonial,Division_Bench,Execution,7,2016-02-18,3239,10,72,24,0.333,0,0,635,1825,1414,133,43.06,Medium
CASE/0610/2019,WES-KOL-16,West Bengal,Kolkata,JDG-411,Civil,POCSO,Full_Bench,Arguments,5,2020-10-09,1544,0,33,12,0.364,0,0,154,365,1179,10,55.64,High
CASE/1697/2015,UTT-ALL-07,Uttar Pradesh,Allahabad,JDG-391,Revision,NDPS,Sessions,Execution,7,2023-02-18,682,0,20,8,0.4,0,0,375,1095,0,36,33.98,Medium
CASE/9375/2021,GUJ-SUR-11,Gujarat,Surat,JDG-962,Criminal,Matrimonial,Full_Bench,Judgment,6,2016-08-21,3054,9,79,19,0.241,0,0,660,1825,1229,10,48.21,Medium
CASE/1657/2017,GUJ-RAJ-03,Gujarat,Rajkot,JDG-655,Writ,NDPS,Sessions,Execution,7,2022-06-09,936,65,11,2,0.182,0,0,397,1095,0,19,42.49,Medium
CASE/3126/2017,MAD-BHO-03,Madhya Pradesh,Bhopal,JDG-249,Revision,POCSO,Full_Bench,Judgment,6,2016-05-11,3156,11,77,25,0.325,0,0,118,365,2791,10,57.62,High
CASE/1796/2016,DEL-NOR-04,Delhi,North,JDG-627,Appeal,Property_Dispute,Full_Bench,Execution,7,2016-01-30,3258,24,77,19,0.247,0,0,1299,2920,338,10,44.77,Medium
CASE/6656/2020,TAM-COI-09,Tamil Nadu,Coimbatore,JDG-793,Revision,POCSO,Division_Bench,Execution,7,2023-06-29,551,3,13,7,0.538,0,0,149,365,186,10,50.8,High
CASE/6766/2024,WES-KOL-05,West Bengal,Kolkata,JDG-190,Appeal,SC_ST,Sessions,Arguments,5,2018-05-07,2430,30,57,20,0.351,0,0,234,730,1700,45,45.67,Medium
CASE/3393/2018,MAH-MUM-03,Maharashtra,Mumbai,JDG-225,Criminal,SC_ST,Single_Judge,Execution,7,2022-10-21,802,18,29,9,0.31,0,0,183,730,72,10,46.47,Medium
CASE/6041/2021,WES-SIL-19,West Bengal,Siliguri,JDG-351,Writ,Motor_Accident,Magistrate,Execution,7,2022-04-18,988,271,17,8,0.471,1,0,815,1825,0,38,44.06,Medium
CASE/8273/2019,KAR-MYS-18,Karnataka,Mysuru,JDG-346,Appeal,Commercial,Full_Bench,Execution,7,2016-02-12,3245,18,67,26,0.388,0,0,345,365,2880,10,56.65,High
CASE/8279/2015,RAJ-UDA-13,Rajasthan,Udaipur,JDG-370,Criminal,Senior_Citizen,Magistrate,Judgment,6,2023-05-30,581,13,19,2,0.105,0,0,83,180,401,85,43.04,Medium
CASE/9362/2015,DEL-CEN-11,Delhi,Central,JDG-476,Revision,Commercial,Sessions,Arguments,5,2018-11-04,2249,33,62,26,0.419,0,0,350,365,1884,116,52.13,High
CASE/1126/2021,MAH-NAG-06,Maharashtra,Nagpur,JDG-506,Execution,General_Civil,Division_Bench,Execution,7,2021-02-03,1427,53,29,6,0.207,0,0,797,2190,0,38,35.23,Medium
CASE/1406/2015,KAR-HUB-15,Karnataka,Hubballi,JDG-602,Criminal,Property_Dispute,Sessions,Written_Statement,3,2022-11-07,785,166,16,3,0.188,0,0,1462,2920,0,321,18.01,Low
CASE/6107/2024,KAR-MAN-10,Karnataka,Mangaluru,JDG-858,Civil,SC_ST,Full_Bench,Execution,7,2015-11-22,3327,10,86,26,0.302,0,0,182,730,2597,10,45.62,Medium
CASE/1493/2023,MAD-BHO-12,Madhya Pradesh,Bhopal,JDG-465,Writ,Matrimonial,Sessions,Arguments,5,2018-07-01,2375,13,64,23,0.359,0,0,682,1825,550,73,52.18,High
CASE/4044/2020,GUJ-SUR-20,Gujarat,Surat,JDG-198,Writ,Motor_Accident,Division_Bench,Execution,7,2016-07-29,3077,23,80,29,0.362,0,0,835,1825,1252,10,46.55,Medium
CASE/2320/2019,MAD-IND-05,Madhya Pradesh,Indore,JDG-591,Writ,General_Civil,Sessions,Judgment,6,2023-09-18,470,1,13,4,0.308,0,0,780,2190,0,489,23.76,Low
CASE/1247/2022,KAR-BEN-06,Karnataka,Bengaluru,JDG-421,Criminal,POCSO,Magistrate,Arguments,5,2016-12-06,2947,0,72,22,0.306,0,0,151,365,2582,109,52.03,High
CASE/5118/2020,UTT-ALL-09,Uttar Pradesh,Allahabad,JDG-871,Civil,Senior_Citizen,Sessions,Execution,7,2020-07-02,1643,9,30,14,0.467,0,0,77,180,1463,24,47.73,Medium
CASE/6222/2017,UTT-ALL-04,Uttar Pradesh,Allahabad,JDG-332,Writ,NDPS,Full_Bench,Execution,7,2023-02-03,697,46,23,10,0.435,0,0,477,1095,0,76,45.36,Medium
CASE/1071/2018,MAH-PUN-02,Maharashtra,Pune,JDG-218,Writ,Senior_Citizen,Single_Judge,Execution,7,2015-03-06,3588,13,88,32,0.364,0,0,99,180,3408,40,34.84,Medium
CASE/4954/2019,UTT-ALL-03,Uttar Pradesh,Allahabad,JDG-388,Appeal,NDPS,Single_Judge,Arguments,5,2017-01-27,2895,16,66,22,0.333,0,0,481,1095,1800,58,47.1,Medium
CASE/0456/2020,TAM-SAL-16,Tamil Nadu,Salem,JDG-241,Execution,General_Civil,Sessions,Execution,7,2018-10-07,2277,42,58,16,0.276,0,0,928,2190,87,10,44.81,Medium
CASE/2079/2021,KAR-MAN-16,Karnataka,Mangaluru,JDG-676,Execution,POCSO,Full_Bench,Execution,7,2015-08-06,3435,19,81,27,0.333,0,0,112,365,3070,94,39.85,Medium
CASE/9564/2023,MAD-JAB-20,Madhya Pradesh,Jabalpur,JDG-459,Revision,Property_Dispute,Division_Bench,Judgment,6,2020-01-17,1810,97,39,12,0.308,0,0,1297,2920,0,55,40.57,Medium
CASE/3469/2020,WES-SIL-10,West Bengal,Siliguri,JDG-807,Civil,SC_ST,Magistrate,Execution,7,2015-03-05,3589,35,87,27,0.31,1,0,176,730,2859,10,64.1,High
CASE/7401/2017,WES-DUR-20,West Bengal,Durgapur,JDG-823,Appeal,General_Criminal,Magistrate,Arguments,5,2022-11-09,783,49,21,7,0.333,0,0,465,730,53,10,42.42,Medium
CASE/8291/2015,WES-HOW-07,West Bengal,Howrah,JDG-215,Appeal,General_Criminal,Magistrate,Execution,7,2015-06-14,3488,53,87,42,0.483,0,0,426,730,2758,27,54.38,High
CASE/5836/2017,UTT-VAR-16,Uttar Pradesh,Varanasi,JDG-197,Civil,Matrimonial,Single_Judge,Judgment,6,2016-06-08,3128,34,79,36,0.456,0,0,601,1825,1303,166,52.13,High
CASE/4620/2017,UTT-ALL-16,Uttar Pradesh,Allahabad,JDG-683,Execution,POCSO,Full_Bench,Execution,7,2016-06-10,3126,2,63,23,0.365,0,0,167,365,2761,10,48.42,Medium
CASE/1405/2019,TAM-COI-05,Tamil Nadu,Coimbatore,JDG-214,Revision,Commercial,Division_Bench,Judgment,6,2017-08-09,2701,26,54,15,0.278,0,0,293,365,2336,65,39.82,Medium
CASE/7728/2019,WES-KOL-14,West Bengal,Kolkata,JDG-998,Execution,Motor_Accident,Full_Bench,Execution,7,2022-08-09,875,93,22,3,0.136,0,0,988,1825,0,77,17.62,Low
CASE/1836/2024,WES-SIL-02,West Bengal,Siliguri,JDG-438,Civil,Property_Dispute,Sessions,Execution,7,2020-11-28,1494,28,29,16,0.552,0,0,1490,2920,0,15,30.42,Medium
CASE/8932/2022,UTT-LUC-04,Uttar Pradesh,Lucknow,JDG-696,Appeal,Matrimonial,Division_Bench,Execution,7,2016-06-09,3127,9,70,18,0.257,0,0,529,1825,1302,44,40.82,Medium
CASE/6045/2023,MAH-PUN-16,Maharashtra,Pune,JDG-286,Writ,SC_ST,Single_Judge,Execution,7,2019-06-30,2011,38,46,15,0.326,1,0,242,730,1281,94,65.84,High
CASE/2913/2019,WES-DUR-05,West Bengal,Durgapur,JDG-650,Appeal,Commercial,Sessions,Execution,7,2018-10-20,2264,58,58,22,0.379,1,0,216,365,1899,10,53.99,High
CASE/1134/2019,RAJ-KOT-19,Rajasthan,Kota,JDG-608,Appeal,Commercial,Sessions,Execution,7,2020-03-06,1761,55,50,23,0.46,1,0,250,365,1396,21,54.93,High
CASE/7529/2016,GUJ-AHM-17,Gujarat,Ahmedabad,JDG-641,Writ,POCSO,Magistrate,Execution,7,2015-10-04,3376,0,79,29,0.367,0,0,147,365,3011,10,46.79,Medium
CASE/2559/2022,RAJ-UDA-09,Rajasthan,Udaipur,JDG-716,Civil,POCSO,Sessions,Judgment,6,2017-12-02,2586,13,60,19,0.317,0,0,96,365,2221,10,51.02,High
CASE/7235/2024,RAJ-JOD-09,Rajasthan,Jodhpur,JDG-499,Criminal,NDPS,Magistrate,Execution,7,2017-04-19,2813,129,76,23,0.303,1,1,490,1095,1718,31,79.39,Critical
CASE/6509/2022,WES-KOL-10,West Bengal,Kolkata,JDG-651,Revision,NDPS,Single_Judge,Judgment,6,2016-04-23,3174,64,59,22,0.373,0,0,419,1095,2079,10,52.52,High
CASE/2766/2022,BIH-PAT-14,Bihar,Patna,JDG-760,Revision,SC_ST,Magistrate,Arguments,5,2023-01-15,716,4,12,4,0.333,0,0,146,730,0,10,52.54,High
CASE/9636/2021,TAM-MAD-15,Tamil Nadu,Madurai,JDG-858,Writ,Property_Dispute,Sessions,Arguments,5,2019-11-30,1858,423,50,15,0.3,1,0,1497,2920,0,10,41.76,Medium
CASE/3971/2016,RAJ-UDA-05,Rajasthan,Udaipur,JDG-949,Criminal,Property_Dispute,Sessions,Execution,7,2022-03-08,1029,62,23,5,0.217,0,0,1238,2920,0,204,18.74,Low
CASE/5360/2019,BIH-PAT-11,Bihar,Patna,JDG-910,Appeal,Motor_Accident,Division_Bench,Arguments,5,2016-05-10,3157,200,73,26,0.356,1,0,856,1825,1332,12,61.44,High
CASE/7180/2024,GUJ-VAD-12,Gujarat,Vadodara,JDG-841,Execution,Matrimonial,Single_Judge,Judgment,6,2020-02-14,1782,2,35,18,0.514,0,0,482,1825,0,10,47.2,Medium
CASE/0906/2019,MAD-BHO-16,Madhya Pradesh,Bhopal,JDG-445,Execution,Property_Dispute,Full_Bench,Arguments,5,2022-01-28,1068,252,19,9,0.474,1,0,1042,2920,0,21,49.25,Medium
CASE/3209/2016,TAM-CHE-01,Tamil Nadu,Chennai,JDG-206,Appeal,SC_ST,Full_Bench,Execution,7,2023-09-15,473,2,10,7,0.7,0,0,198,730,0,66,41.02,Medium
CASE/2874/2016,KAR-MAN-06,Karnataka,Mangaluru,JDG-688,Revision,Matrimonial,Division_Bench,Judgment,6,2022-02-27,1038,33,23,6,0.261,0,0,494,1825,0,29,24.11,Low
CASE/2084/2019,BIH-MUZ-13,Bihar,Muzaffarpur,JDG-474,Execution,Property_Dispute,Full_Bench,Execution,7,2015-08-03,3438,208,75,32,0.427,1,0,1089,2920,518,16,55.17,High
CASE/7687/2019,GUJ-SUR-11,Gujarat,Surat,JDG-463,Appeal,SC_ST,Sessions,Judgment,6,2022-02-12,1053,22,22,8,0.364,0,0,164,730,323,47,46.12,Medium
CASE/2551/2019,WES-DUR-05,West Bengal,Durgapur,JDG-415,Writ,Motor_Accident,Magistrate,Arguments,5,2017-06-03,2768,28,69,25,0.362,0,0,649,1825,943,178,59.22,High
CASE/2084/2015,KAR-MYS-05,Karnataka,Mysuru,JDG-103,Criminal,POCSO,Single_Judge,Judgment,6,2018-02-01,2525,18,73,27,0.37,0,0,105,365,2160,10,45.7,Medium
CASE/7498/2017,WES-DUR-19,West Bengal,Durgapur,JDG-260,Civil,Motor_Accident,Full_Bench,Execution,7,2019-03-21,2112,1,45,22,0.489,0,0,988,1825,287,47,52.45,High
CASE/6872/2015,MAH-MUM-09,Maharashtra,Mumbai,JDG-562,Appeal,General_Civil,Magistrate,Execution,7,2021-12-26,1101,121,28,9,0.321,0,0,1086,2190,0,10,17.74,Low
CASE/0901/2024,TAM-SAL-06,Tamil Nadu,Salem,JDG-220,Civil,Matrimonial,Division_Bench,Execution,7,2017-09-04,2675,8,69,25,0.362,0,0,663,1825,850,93,48.31,Medium
CASE/2939/2015,DEL-NOR-13,Delhi,North,JDG-532,Criminal,General_Criminal,Single_Judge,Judgment,6,2019-03-14,2119,48,54,17,0.315,0,1,472,730,1389,15,53.71,High
CASE/1860/2020,GUJ-AHM-13,Gujarat,Ahmedabad,JDG-359,Appeal,General_Criminal,Sessions,Judgment,6,2021-01-24,1437,20,35,19,0.543,0,0,529,730,707,100,53.45,High
CASE/4097/2024,RAJ-UDA-05,Rajasthan,Udaipur,JDG-205,Appeal,Commercial,Single_Judge,Arguments,5,2017-12-18,2570,31,54,14,0.259,0,0,278,365,2205,10,47.66,Medium
CASE/9335/2021,MAH-MUM-06,Maharashtra,Mumbai,JDG-864,Revision,POCSO,Magistrate,Arguments,5,2020-07-06,1639,29,50,17,0.34,1,0,96,365,1274,14,68.79,High
CASE/4014/2017,MAH-NAG-02,Maharashtra,Nagpur,JDG-222,Criminal,Motor_Accident,Full_Bench,Execution,7,2016-01-31,3257,35,76,21,0.276,0,0,977,1825,1432,128,46.07,Medium
CASE/7746/2024,MAD-GWA-04,Madhya Pradesh,Gwalior,JDG-690,Appeal,General_Criminal,Division_Bench,Execution,7,2023-11-21,406,34,5,0,0.0,0,0,453,730,0,46,26.98,Medium
CASE/5795/2018,WES-KOL-11,West Bengal,Kolkata,JDG-795,Appeal,General_Civil,Full_Bench,Judgment,6,2015-11-27,3322,6,77,25,0.325,0,0,897,2190,1132,29,47.53,Medium
CASE/8115/2015,TAM-MAD-06,Tamil Nadu,Madurai,JDG-180,Civil,Senior_Citizen,Division_Bench,Arguments,5,2018-03-20,2478,32,68,31,0.456,1,0,106,180,2298,105,60.19,High
CASE/2350/2023,MAH-NAS-15,Maharashtra,Nashik,JDG-732,Criminal,Senior_Citizen,Full_Bench,Execution,7,2020-03-26,1741,9,38,21,0.553,0,0,105,180,1561,10,54.81,High
CASE/6558/2022,DEL-NOR-17,Delhi,North,JDG-653,Criminal,General_Criminal,Division_Bench,Execution,7,2018-04-15,2452,50,44,18,0.409,0,1,597,730,1722,37,53.98,High
CASE/7720/2023,WES-KOL-03,West Bengal,Kolkata,JDG-614,Appeal,Property_Dispute,Division_Bench,Judgment,6,2020-01-19,1808,98,41,8,0.195,0,0,1494,2920,0,91,22.23,Low
CASE/3386/2015,BIH-PAT-04,Bihar,Patna,JDG-276,Civil,SC_ST,Full_Bench,Execution,7,2022-04-28,978,14,26,9,0.346,0,0,251,730,248,42,52.09,High
CASE/5966/2017,DEL-SOU-07,Delhi,South,JDG-576,Criminal,General_Civil,Division_Bench,Execution,7,2016-08-28,3047,11,75,27,0.36,0,0,1201,2190,857,96,43.63,Medium
CASE/8590/2015,MAD-GWA-02,Madhya Pradesh,Gwalior,JDG-744,Writ,NDPS,Division_Bench,Execution,7,2019-06-17,2024,104,53,20,0.377,1,0,466,1095,929,59,59.0,High
CASE/9986/2021,KAR-HUB-09,Karnataka,Hubballi,JDG-519,Execution,General_Civil,Full_Bench,Execution,7,2021-02-26,1404,77,40,8,0.2,0,0,864,2190,0,10,32.41,Medium
CASE/1718/2021,MAH-NAG-04,Maharashtra,Nagpur,JDG-432,Appeal,Senior_Citizen,Full_Bench,Arguments,5,2023-02-13,687,1,11,2,0.182,0,0,77,180,507,10,38.06,Medium
CASE/3218/2024,RAJ-JOD-15,Rajasthan,Jodhpur,JDG-157,Criminal,General_Criminal,Magistrate,Execution,7,2021-05-27,1314,43,38,11,0.289,0,1,492,730,584,132,70.1,High
CASE/6317/2024,KAR-BEN-10,Karnataka,Bengaluru,JDG-419,Civil,Motor_Accident,Single_Judge,Evidence,4,2023-05-07,604,81,16,8,0.5,0,0,745,1825,0,184,30.66,Medium
CASE/7001/2020,MAD-JAB-03,Madhya Pradesh,Jabalpur,JDG-184,Criminal,POCSO,Full_Bench,Execution,7,2017-12-15,2573,5,60,22,0.367,0,0,167,365,2208,10,51.28,High
CASE/7618/2015,DEL-CEN-09,Delhi,Central,JDG-776,Appeal,Commercial,Sessions,Execution,7,2016-11-14,2969,21,68,18,0.265,0,0,266,365,2604,83,48.63,Medium
CASE/3369/2020,WES-SIL-02,West Bengal,Siliguri,JDG-343,Civil,Matrimonial,Division_Bench,Execution,7,2019-08-21,1959,25,37,7,0.189,0,0,651,1825,134,10,39.82,Medium
CASE/4400/2020,MAD-IND-09,Madhya Pradesh,Indore,JDG-401,Execution,Motor_Accident,Single_Judge,Execution,7,2019-06-16,2025,36,46,12,0.261,0,0,835,1825,200,10,45.21,Medium
CASE/9719/2015,BIH-MUZ-03,Bihar,Muzaffarpur,JDG-870,Revision,SC_ST,Full_Bench,Judgment,6,2019-07-16,1995,3,47,11,0.234,0,0,150,730,1265,39,44.28,Medium
CASE/6624/2022,WES-HOW-06,West Bengal,Howrah,JDG-878,Execution,Senior_Citizen,Single_Judge,Judgment,6,2021-10-14,1174,2,26,11,0.423,0,0,116,180,994,10,46.43,Medium
CASE/1869/2017,UTT-LUC-16,Uttar Pradesh,Lucknow,JDG-828,Writ,General_Civil,Sessions,Judgment,6,2018-11-24,2229,74,61,22,0.361,0,0,990,2190,39,10,43.76,Medium
